,대지위치,주용도코드명,자전거전용도로비율,stcnsDelayDay,실제착공일,지역코드명
564,서울특별시 강남구 개포동 1195-10번지,공동주택,20190701, ,20190704,제2종일반주거지역
565,서울특별시 강남구 개포동 1195-13번지,제2종근린생활시설,20220214, ,20220215,제2종일반주거지역
566,서울특별시 강남구 개포동 1195-14번지,공동주택,20160324, ,20160324,도시지역
567,서울특별시 강남구 개포동 1196-2번지,제2종근린생활시설, , , ,도시지역
568,서울특별시 강남구 개포동 1196-5번지,제1종근린생활시설, , , ,도시지역
569,서울특별시 강남구 개포동 1196-6번지,제1종근린생활시설, , , ,제2종일반주거지역
570,서울특별시 강남구 개포동 1196-7번지,제2종근린생활시설, , , ,도시지역
571,서울특별시 강남구 개포동 1196-7번지,제2종근린생활시설, , , ,상대보호구역
572,서울특별시 강남구 개포동 1196-8번지,공동주택,20150319, ,20150310,제2종일반주거지역
573,서울특별시 강남구 개포동 1196-9번지,공동주택,20150302, ,20150226,제2종일반주거지역
574,서울특별시 강남구 개포동 1196-11번지,공동주택,20140414, ,20140410,제2종일반주거지역
575,서울특별시 강남구 개포동 1197-2번지, , , , ,제2종일반주거지역
576,서울특별시 강남구 개포동 1197-2번지,판매시설, , , ,제2종일반주거지역
577,서울특별시 강남구 개포동 1197-2번지,판매시설, , , ,제2종일반주거지역
578,서울특별시 강남구 개포동 1197-2번지, , , , ,제2종일반주거지역
579,서울특별시 강남구 개포동 1197-2번지,판매시설,20110115, ,20110218,제2종일반주거지역
580,서울특별시 강남구 개포동 1197-2번지,판매시설, , , ,제2종일반주거지역
581,서울특별시 강남구 개포동 1197-2번지,판매시설, , , ,제2종일반주거지역
582,서울특별시 강남구 개포동 1197-2번지, , , , ,제2종일반주거지역
583,서울특별시 강남구 개포동 1197-5번지, , , , , 
584,서울특별시 강남구 개포동 1198번지, , , , , 
585,서울특별시 강남구 개포동 1198번지,공동주택,20160328, ,20160223,도시지역
586,서울특별시 강남구 개포동 1198-1번지,공동주택,20150310, ,20150303,제2종일반주거지역
587,서울특별시 강남구 개포동 1198-2번지,공동주택,20210831, ,20210831,제2종일반주거지역
588,서울특별시 강남구 개포동 1198-6번지,제2종근린생활시설, , , ,도시지역
589,서울특별시 강남구 개포동 1198-6번지,제2종근린생활시설, , , ,도시지역
590,서울특별시 강남구 개포동 1198-7번지,제2종근린생활시설,20160726, ,20160726,도시지역
591,서울특별시 강남구 개포동 1198-7번지,제2종근린생활시설, , , ,제2종일반주거지역
592,서울특별시 강남구 개포동 1199-7번지, , , , , 
593,서울특별시 강남구 개포동 1199-7번지,공동주택,20190107, ,20190110,제2종일반주거지역
594,서울특별시 강남구 개포동 1199-8번지,공동주택,20140725,20140801,20140724,제2종일반주거지역
595,서울특별시 강남구 개포동 1200-5번지,제2종근린생활시설, , , ,제2종일반주거지역
596,서울특별시 강남구 개포동 1200-5번지,제2종근린생활시설, , , ,도시지역
